area_code,area_name,total_persons,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad
E06000012,North East Lincolnshire UA,159616,70242,55935,23779,7507,2153,44.0,35.0,14.9,4.7,1.3,9660,6.0
E06000013,North Lincolnshire UA,167446,73234,59883,24667,7593,2069,43.7,35.8,14.7,4.5,1.2,9662,5.7
E06000014,York UA,198051,98402,67709,23752,6369,1819,49.7,34.2,12.0,3.2,0.9,8188,4.1000000000000005
E07000163,Craven,55409,26383,19150,7387,1975,514,47.6,34.6,13.3,3.6,0.9,2489,4.5
E07000164,Hambleton,89140,43384,30682,11235,2972,867,48.7,34.4,12.6,3.3,1.0,3839,4.3
E07000165,Harrogate,157869,79934,53313,18633,4698,1291,50.6,33.8,11.8,3.0,0.8,5989,3.8
E07000166,Richmondshire,51965,26678,17383,5988,1523,393,51.3,33.5,11.5,2.9,0.8,1916,3.7
E07000167,Ryedale,51751,23555,18476,7329,1846,545,45.5,35.7,14.2,3.6,1.1,2391,4.7
E07000168,Scarborough,108793,45241,38721,17588,5712,1531,41.6,35.6,16.2,5.3,1.4,7243,6.699999999999999
E07000169,Selby,83449,40351,28624,10654,3008,812,48.4,34.3,12.8,3.6,1.0,3820,4.6
E08000016,Barnsley,231221,96194,77649,37956,15278,4144,41.6,33.6,16.4,6.6,1.8,19422,8.4
E08000017,Doncaster,302402,131738,102983,45748,16982,4951,43.6,34.1,15.1,5.6,1.6,21933,7.199999999999999
E08000018,Rotherham ,257280,111232,87237,39278,15114,4419,43.2,33.9,15.3,5.9,1.7,19533,7.6000000000000005
E08000019,Sheffield,552698,258250,184343,75733,26703,7669,46.7,33.4,13.7,4.8,1.4,34372,6.199999999999999
E08000032,Bradford,522452,234133,186031,71580,23768,6940,44.8,35.6,13.7,4.5,1.3,30708,5.8
E08000033,Calderdale,203826,94449,70007,28091,8929,2350,46.3,34.3,13.8,4.4,1.2,11279,5.6000000000000005
E08000034,Kirklees ,422458,192366,147731,58042,19030,5289,45.5,35.0,13.7,4.5,1.3,24319,5.8
E08000035,Leeds,751485,361295,254023,95515,31504,9148,48.1,33.8,12.7,4.2,1.2,40652,5.4
E08000036,Wakefield,325837,139288,110920,50595,19507,5527,42.7,34.0,15.5,6.0,1.7,25034,7.7
E06000015,Derby UA,248752,111837,87060,35193,11413,3249,45.0,35.0,14.1,4.6,1.3,14662,5.8999999999999995
E06000016,Leicester UA,329839,148108,117551,44278,14972,4930,44.9,35.6,13.4,4.5,1.5,19902,6.0
E06000018,Nottingham UA,305680,141038,103332,41581,15063,4666,46.1,33.8,13.6,4.9,1.5,19729,6.4
E06000017,Rutland UA,37369,18828,12718,4532,1008,283,50.4,34.0,12.1,2.7,0.8,1291,3.5
E07000032,Amber Valley,122309,53826,42795,18336,5810,1542,44.0,35.0,15.0,4.8,1.3,7352,6.1
E07000033,Bolsover,75866,30934,25423,12965,5152,1392,40.8,33.5,17.1,6.8,1.8,6544,8.6
E07000034,Chesterfield,103788,43274,35622,16984,6204,1704,41.7,34.3,16.4,6.0,1.6,7908,7.6
E07000035,Derbyshire Dales,71116,33487,24683,9718,2475,753,47.1,34.7,13.7,3.5,1.1,3228,4.6
E07000036,Erewash,112081,49349,39666,16762,4874,1430,44.0,35.4,15.0,4.3,1.3,6304,5.6
E07000037,High Peak,90892,43185,30980,12011,3696,1020,47.5,34.1,13.2,4.1,1.1,4716,5.199999999999999
E07000038,North East Derbyshire,99023,42535,33926,15734,5319,1509,43.0,34.3,15.9,5.4,1.5,6828,6.9
E07000039,South Derbyshire,94611,45075,32550,12348,3647,991,47.6,34.4,13.1,3.9,1.0,4638,4.9
E07000129,Blaby,93915,44615,33631,11764,3081,824,47.5,35.8,12.5,3.3,0.9,3905,4.2
E07000130,Charnwood,166100,79906,58637,20620,5465,1472,48.1,35.3,12.4,3.3,0.9,6937,4.2
E07000131,Harborough,85382,43421,29261,9707,2345,648,50.9,34.3,11.4,2.7,0.8,2993,3.5
E07000132,Hinckley and Bosworth,105078,48612,37653,13974,3812,1027,46.3,35.8,13.3,3.6,1.0,4839,4.6
E07000133,Melton,50376,24349,17892,6295,1449,391,48.3,35.5,12.5,2.9,0.8,1840,3.7
E07000134,North West Leicestershire,93468,42477,33202,12978,3733,1078,45.4,35.5,13.9,4.0,1.2,4811,5.2
E07000135,Oadby and Wigston,56170,25383,20568,7524,2082,613,45.2,36.6,13.4,3.7,1.1,2695,4.800000000000001
E07000136,Boston,64637,26298,24225,10252,3058,804,40.7,37.5,15.9,4.7,1.2,3862,5.9
E07000137,East Lindsey,136401,52138,48140,24915,8671,2537,38.2,35.3,18.3,6.4,1.9,11208,8.3
E07000138,Lincoln,93541,41329,34216,13005,3907,1084,44.2,36.6,13.9,4.2,1.2,4991,5.4
E07000139,North Kesteven,107766,49563,37834,14941,4198,1230,46.0,35.1,13.9,3.9,1.1,5428,5.0
E07000140,South Holland,88270,35771,33149,13968,4167,1215,40.5,37.6,15.8,4.7,1.4,5382,6.1
E07000141,South Kesteven,133788,62625,46999,17767,5005,1392,46.8,35.1,13.3,3.7,1.0,6397,4.7
E07000142,West Lindsey,89250,39293,32075,13100,3790,992,44.0,35.9,14.7,4.2,1.1,4782,5.300000000000001
E07000150,Corby,61255,28138,21539,8045,2697,836,45.9,35.2,13.1,4.4,1.4,3533,5.800000000000001
