area_code,area_name,total_persons,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad
E06000040,Windsor and Maidenhead UA,144560,78802,46571,14234,3872,1081,54.5,32.2,9.8,2.7,0.7,4953,3.4000000000000004
E06000041,Wokingham UA,154380,83759,51808,14566,3310,937,54.3,33.6,9.4,2.1,0.6,4247,2.7
E07000004,Aylesbury Vale,174137,89515,59530,19073,4661,1358,51.4,34.2,11.0,2.7,0.8,6019,3.5
E07000005,Chiltern,92635,49848,30368,9433,2334,652,53.8,32.8,10.2,2.5,0.7,2986,3.2
E07000006,South Bucks,66867,35055,22267,7025,1959,561,52.4,33.3,10.5,2.9,0.8,2520,3.7
E07000007,Wycombe,171644,88483,58721,18456,4653,1331,51.6,34.2,10.8,2.7,0.8,5984,3.5
E07000061,Eastbourne,99412,42818,35193,15251,4712,1438,43.1,35.4,15.3,4.7,1.4,6150,6.1
E07000062,Hastings,90254,36556,32707,14276,5159,1556,40.5,36.2,15.8,5.7,1.7,6715,7.4
E07000063,Lewes,97502,43719,34634,13900,4066,1183,44.8,35.5,14.3,4.2,1.2,5249,5.4
E07000064,Rother,90588,36737,33152,14960,4463,1276,40.6,36.6,16.5,4.9,1.4,5739,6.300000000000001
E07000065,Wealden,148915,70867,52009,19408,5198,1433,47.6,34.9,13.0,3.5,1.0,6631,4.5
E07000084,Basingstoke and Deane,167799,85034,58917,18047,4559,1242,50.7,35.1,10.8,2.7,0.7,5801,3.4000000000000004
E07000085,East Hampshire,115608,58330,40113,12885,3336,944,50.5,34.7,11.1,2.9,0.8,4280,3.7
E07000086,Eastleigh,125199,61561,44190,14538,3817,1093,49.2,35.3,11.6,3.0,0.9,4910,3.9
E07000087,Fareham,111581,54170,39284,13638,3489,1000,48.5,35.2,12.2,3.1,0.9,4489,4.0
E07000088,Gosport,82622,37447,29915,11224,3215,821,45.3,36.2,13.6,3.9,1.0,4036,4.9
E07000089,Hart,91033,50079,30120,8432,1891,511,55.0,33.1,9.3,2.1,0.6,2402,2.7
E07000090,Havant,120684,53474,43275,17188,5172,1575,44.3,35.9,14.2,4.3,1.3,6747,5.6
E07000091,New Forest,176462,79671,63302,24871,6715,1903,45.1,35.9,14.1,3.8,1.1,8618,4.9
E07000092,Rushmoor,93807,46970,33340,10099,2625,773,50.1,35.5,10.8,2.8,0.8,3398,3.5999999999999996
E07000093,Test Valley,116398,58222,40262,13530,3457,927,50.0,34.6,11.6,3.0,0.8,4384,3.8
E07000094,Winchester,116595,62025,38219,12354,3135,862,53.2,32.8,10.6,2.7,0.7,3997,3.4000000000000004
E07000105,Ashford,117956,56128,41385,15027,4163,1253,47.6,35.1,12.7,3.5,1.1,5416,4.6
E07000106,Canterbury,151145,70764,52338,20211,6133,1699,46.8,34.6,13.4,4.1,1.1,7832,5.199999999999999
E07000107,Dartford,97365,47273,33941,11837,3314,1000,48.6,34.9,12.2,3.4,1.0,4314,4.4
E07000108,Dover,111674,48433,39477,16745,5538,1481,43.4,35.4,15.0,5.0,1.3,7019,6.3
E07000109,Gravesham,101720,47298,35572,13629,4104,1117,46.5,35.0,13.4,4.0,1.1,5221,5.1
E07000110,Maidstone,155143,74636,54384,19291,5323,1509,48.1,35.1,12.4,3.4,1.0,6832,4.4
E07000111,Sevenoaks,114893,58796,38344,13180,3569,1004,51.2,33.4,11.5,3.1,0.9,4573,4.0
E07000112,Shepway,107969,45577,38999,16465,5321,1607,42.2,36.1,15.2,4.9,1.5,6928,6.4
E07000113,Swale,135835,60198,48719,19118,6008,1792,44.3,35.9,14.1,4.4,1.3,7800,5.7
E07000114,Thanet,134186,54640,47109,22377,7785,2275,40.7,35.1,16.7,5.8,1.7,10060,7.5
E07000115,Tonbridge and Malling,120805,60306,41475,14263,3728,1033,49.9,34.3,11.8,3.1,0.9,4761,4.0
E07000116,Tunbridge Wells,115049,59156,38656,12788,3550,899,51.4,33.6,11.1,3.1,0.8,4449,3.9000000000000004
E07000177,Cherwell,141868,71403,49163,15844,4261,1197,50.3,34.7,11.2,3.0,0.8,5458,3.8
E07000178,Oxford,151906,83904,48201,14320,4189,1292,55.2,31.7,9.4,2.8,0.9,5481,3.6999999999999997
E07000179,South Oxfordshire,134257,70571,44779,14409,3517,981,52.6,33.4,10.7,2.6,0.7,4498,3.3
E07000180,Vale of White Horse,120988,62738,41117,13063,3163,907,51.9,34.0,10.8,2.6,0.7,4070,3.3
E07000181,West Oxfordshire,104779,53984,35438,11685,2942,730,51.5,33.8,11.2,2.8,0.7,3672,3.5
E07000207,Elmbridge,130875,73880,40555,12360,3213,867,56.5,31.0,9.4,2.5,0.7,4080,3.2
E07000208,Epsom and Ewell,75102,39208,25355,7988,2016,535,52.2,33.8,10.6,2.7,0.7,2551,3.4000000000000004
E07000209,Guildford,137183,73969,45445,13442,3402,925,53.9,33.1,9.8,2.5,0.7,4327,3.2
E07000210,Mole Valley,85375,43926,28801,9607,2437,604,51.5,33.7,11.3,2.9,0.7,3041,3.5999999999999996
E07000211,Reigate and Banstead,137835,71052,46908,14866,3844,1165,51.5,34.0,10.8,2.8,0.8,5009,3.5999999999999996
E07000212,Runnymede,80510,41319,27451,8767,2371,602,51.3,34.1,10.9,2.9,0.7,2973,3.5999999999999996
E07000213,Spelthorne,95598,45929,34239,11509,3085,836,48.0,35.8,12.0,3.2,0.9,3921,4.1000000000000005
E07000214,Surrey Heath,86144,46062,28683,8613,2148,638,53.5,33.3,10.0,2.5,0.7,2786,3.2
E07000215,Tandridge,82998,41916,28514,9450,2403,715,50.5,34.4,11.4,2.9,0.9,3118,3.8
E07000216,Waverley,121572,65068,39777,12768,3078,881,53.5,32.7,10.5,2.5,0.7,3959,3.2
E07000217,Woking,99198,51360,34291,10184,2602,761,51.8,34.6,10.3,2.6,0.8,3363,3.4000000000000004
E07000223,Adur,61182,26107,22373,9181,2757,764,42.7,36.6,15.0,4.5,1.2,3521,5.7
E07000224,Arun,149518,62774,54975,23299,6608,1862,42.0,36.8,15.6,4.4,1.2,8470,5.6000000000000005
E07000225,Chichester,113794,54210,39771,14900,3822,1091,47.6,34.9,13.1,3.4,1.0,4913,4.4
E07000226,Crawley,106597,50751,38279,12856,3679,1032,47.6,35.9,12.1,3.5,1.0,4711,4.5
E07000227,Horsham,131301,66403,45684,14580,3560,1074,50.6,34.8,11.1,2.7,0.8,4634,3.5
E07000228,Mid Sussex,139860,72448,47524,14938,3864,1086,51.8,34.0,10.7,2.8,0.8,4950,3.5999999999999996
E07000229,Worthing,104640,46272,37777,15082,4355,1154,44.2,36.1,14.4,4.2,1.1,5509,5.300000000000001
E06000022,Bath and North East Somerset UA,176016,88882,58849,20856,5831,1598,50.5,33.4,11.8,3.3,0.9,7429,4.2
E06000028,Bournemouth UA,183491,84955,63260,24866,8009,2401,46.3,34.5,13.6,4.4,1.3,10410,5.7
E06000023,"Bristol, City of UA",428234,209024,143283,52446,18056,5425,48.8,33.5,12.2,4.2,1.3,23481,5.5
E06000052,Cornwall UA,532273,240759,178805,79181,25907,7621,45.2,33.6,14.9,4.9,1.4,33528,6.300000000000001
E06000053,Isles of Scilly UA,2203,1135,754,248,53,13,51.5,34.2,11.3,2.4,0.6,66,3.0
E06000024,North Somerset UA,202566,93803,70435,27670,8276,2382,46.3,34.8,13.7,4.1,1.2,10658,5.3
E06000026,Plymouth UA,256384,117976,85956,35756,13012,3684,46.0,33.5,13.9,5.1,1.4,16696,6.5
E06000029,Poole UA,147645,68689,51486,19849,5841,1780,46.5,34.9,13.4,4.0,1.2,7621,5.2
E06000025,South Gloucestershire UA,262767,129141,91675,30940,8556,2455,49.1,34.9,11.8,3.3,0.9,11011,4.2
E06000030,Swindon UA,209156,100931,73591,25056,7556,2022,48.3,35.2,12.0,3.6,1.0,9578,4.6
E06000027,Torbay UA,130959,54614,45098,21355,7625,2267,41.7,34.4,16.3,5.8,1.7,9892,7.5
E06000054,Wiltshire UA,470981,234318,160362,57221,14974,4106,49.8,34.0,12.1,3.2,0.9,19080,4.1000000000000005
E07000040,East Devon,132457,58004,47716,19960,5285,1492,43.8,36.0,15.1,4.0,1.1,6777,5.1
E07000041,Exeter,117773,58775,39301,14075,4331,1291,49.9,33.4,12.0,3.7,1.1,5622,4.800000000000001
E07000042,Mid Devon,77750,36263,27554,10398,2785,750,46.6,35.4,13.4,3.6,1.0,3535,4.6
E07000043,North Devon,93667,43441,31704,13264,4064,1194,46.4,33.8,14.2,4.3,1.3,5258,5.6
E07000044,South Hams,83140,39414,28574,11075,3156,921,47.4,34.4,13.3,3.8,1.1,4077,4.9
E07000045,Teignbridge,124220,55819,43342,18237,5268,1554,44.9,34.9,14.7,4.2,1.3,6822,5.5
E07000046,Torridge,63839,27787,22242,9843,3128,839,43.5,34.8,15.4,4.9,1.3,3967,6.2
E07000047,West Devon,53553,24556,18599,7646,2120,632,45.9,34.7,14.3,4.0,1.2,2752,5.2
E07000048,Christchurch,47752,20203,17116,7681,2208,544,42.3,35.8,16.1,4.6,1.1,2752,5.699999999999999
E07000049,East Dorset,87166,39505,31183,12436,3162,880,45.3,35.8,14.3,3.6,1.0,4042,4.6
E07000050,North Dorset,68583,32782,24146,8808,2266,581,47.8,35.2,12.8,3.3,0.8,2847,4.1
E07000051,Purbeck,44973,20231,16148,6340,1782,472,45.0,35.9,14.1,4.0,1.0,2254,5.0
E07000052,West Dorset,99264,44070,35640,14604,3878,1072,44.4,35.9,14.7,3.9,1.1,4950,5.0
E07000053,Weymouth and Portland,65167,27562,23933,9802,2952,918,42.3,36.7,15.0,4.5,1.4,3870,5.9
E07000078,Cheltenham,115732,57758,39722,13631,3637,984,49.9,34.3,11.8,3.1,0.9,4621,4.0
E07000079,Cotswold,82881,40433,29067,10220,2498,663,48.8,35.1,12.3,3.0,0.8,3161,3.8
E07000080,Forest of Dean,81961,36281,29340,11879,3535,926,44.3,35.8,14.5,4.3,1.1,4461,5.4
E07000081,Gloucester,121688,56655,43150,15933,4616,1334,46.6,35.5,13.1,3.8,1.1,5950,4.9
E07000082,Stroud,112779,53779,39711,14441,3783,1065,47.7,35.2,12.8,3.4,0.9,4848,4.3
E07000083,Tewkesbury,81943,39036,29183,10213,2703,808,47.6,35.6,12.5,3.3,1.0,3511,4.3
E07000187,Mendip,109279,51153,38270,14619,4137,1100,46.8,35.0,13.4,3.8,1.0,5237,4.8
E07000188,Sedgemoor,114588,51044,40291,16930,4994,1329,44.5,35.2,14.8,4.4,1.2,6323,5.6000000000000005
E07000189,South Somerset,161243,73277,57906,22282,6115,1663,45.4,35.9,13.8,3.8,1.0,7778,4.8
E07000190,Taunton Deane,110187,51946,38014,14854,4225,1148,47.1,34.5,13.5,3.8,1.0,5373,4.8
E07000191,West Somerset,34675,14080,12620,5741,1756,478,40.6,36.4,16.6,5.1,1.4,2234,6.5
W06000001,Isle of Anglesey,69751,33492,21309,10541,3413,996,48.0,30.6,15.1,4.9,1.4,4409,6.300000000000001
W06000002,Gwynedd,121874,61396,37383,16593,4998,1504,50.4,30.7,13.6,4.1,1.2,6502,5.3
W06000003,Conwy,115228,52335,36977,17874,6237,1805,45.4,32.1,15.5,5.4,1.6,8042,7.0
W06000004,Denbighshire,93734,43690,29420,13770,5341,1513,46.6,31.4,14.7,5.7,1.6,6854,7.300000000000001
W06000005,Flintshire,152506,74216,49498,20114,6774,1904,48.7,32.5,13.2,4.4,1.2,8678,5.6000000000000005
W06000006,Wrexham,134844,63642,43813,19009,6531,1849,47.2,32.5,14.1,4.8,1.4,8380,6.199999999999999
W06000023,Powys,132976,59511,45459,19857,6375,1774,44.8,34.2,14.9,4.8,1.3,8149,6.1
W06000008,Ceredigion,75922,35796,24369,10946,3660,1151,47.1,32.1,14.4,4.8,1.5,4811,6.3
W06000009,Pembrokeshire,122439,55535,39889,18684,6383,1948,45.4,32.6,15.3,5.2,1.6,8331,6.800000000000001
W06000010,Carmarthenshire,183777,82638,55618,30011,11475,4035,45.0,30.3,16.3,6.2,2.2,15510,8.4
W06000011,Swansea,239023,116295,69978,33402,14473,4875,48.7,29.3,14.0,6.1,2.0,19348,8.1
W06000012,Neath Port Talbot,139812,62849,39694,22640,11028,3601,45.0,28.4,16.2,7.9,2.6,14629,10.5
W06000013,Bridgend ,139178,64134,41659,21002,9459,2924,46.1,29.9,15.1,6.8,2.1,12383,8.9
W06000014,The Vale of Glamorgan,126336,60656,40486,17123,6191,1880,48.0,32.0,13.6,4.9,1.5,8071,6.4
W06000015,Cardiff,346090,174329,107477,42014,16745,5525,50.4,31.1,12.1,4.8,1.6,22270,6.4
W06000016,Rhondda Cynon Taf,234410,105154,69544,37208,17396,5108,44.9,29.7,15.9,7.4,2.2,22504,9.600000000000001
W06000024,Merthyr Tydfil,58802,25948,16961,9324,4908,1661,44.1,28.8,15.9,8.3,2.8,6569,11.100000000000001
W06000018,Caerphilly,178806,79382,54272,28488,12844,3820,44.4,30.4,15.9,7.2,2.1,16664,9.3
W06000019,Blaenau Gwent,69814,29269,21385,11696,5692,1772,41.9,30.6,16.8,8.2,2.5,7464,10.7
W06000020,Torfaen,91075,39398,29619,14155,5965,1938,43.3,32.5,15.5,6.5,2.1,7903,8.6
W06000021,Monmouthshire,91323,42365,30742,12800,4173,1243,46.4,33.7,14.0,4.6,1.4,5416,6.0
W06000022,Newport,145736,66667,47811,20538,8161,2559,45.7,32.8,14.1,5.6,1.8,10720,7.3999999999999995
