year,area_code,area_name,total_16plus_2021,n_active_excl_students_2021,n_in_employment_excl_students_2021,n_unemployed_excl_students_2021,n_active_ft_student_2021,n_active_ft_student_in_employment_2021,n_active_ft_student_unemployed_2021,n_active_total_2021,n_in_employment_total_2021,n_unemployed_total_2021,n_inactive_2021,n_retired_2021,n_student_inactive_2021,n_home_family_2021,n_long_term_sick_disabled_2021,n_inactive_other_2021,pct_active_total_2021,pct_in_employment_total_2021,pct_unemployed_total_2021,pct_inactive_2021,pct_retired_2021,pct_student_inactive_2021,pct_home_family_2021,pct_long_term_sick_disabled_2021,pct_inactive_other_2021
2021,E09000030,Tower Hamlets,252879,160439,148548,11891,10097,6842,3255,170536,155390,15146,82343,14714,24195,21324,10159,11951,67.44,61.45,5.99,32.56,5.82,9.57,8.43,4.02,4.73
2021,E09000031,Waltham Forest,222184,145653,135670,9983,6182,4704,1478,151835,140374,11461,70349,25673,13724,13640,7844,9468,68.34,63.18,5.16,31.66,11.55,6.18,6.14,3.53,4.26
2021,E09000032,Wandsworth,273559,195501,186222,9279,5927,4219,1708,201428,190441,10987,72131,26906,16228,12560,7360,9077,73.63,69.62,4.02,26.37,9.84,5.93,4.59,2.69,3.32
2021,E09000033,Westminster,177470,105737,98692,7045,4551,3053,1498,110288,101745,8543,67182,19329,19662,11196,8482,8513,62.14,57.33,4.81,37.86,10.89,11.08,6.31,4.78,4.8
2021,W06000001,Isle of Anglesey,57148,30023,28540,1483,842,663,179,30865,29203,1662,26283,17457,2279,2344,2714,1489,54.01,51.1,2.91,45.99,30.55,3.99,4.1,4.75,2.61
2021,W06000002,Gwynedd,97968,52292,49852,2440,2681,1965,716,54973,51817,3156,42995,25358,7449,3431,4112,2645,56.11,52.89,3.22,43.89,25.88,7.6,3.5,4.2,2.7
2021,W06000003,Conwy,96360,50107,47561,2546,1480,1158,322,51587,48719,2868,44773,29697,3623,3678,5201,2574,53.54,50.56,2.98,46.46,30.82,3.76,3.82,5.4,2.67
2021,W06000004,Denbighshire,78908,41792,39880,1912,1244,966,278,43036,40846,2190,35872,22395,3193,3301,4908,2075,54.54,51.76,2.78,45.46,28.38,4.05,4.18,6.22,2.63
2021,W06000005,Flintshire,127578,75111,72141,2970,2242,1679,563,77353,73820,3533,50225,32708,4549,4584,5511,2873,60.63,57.86,2.77,39.37,25.64,3.57,3.59,4.32,2.25
2021,W06000006,Wrexham,110274,62725,60072,2653,2324,1733,591,65049,61805,3244,45225,26254,4857,4464,5642,4008,58.99,56.05,2.94,41.01,23.81,4.4,4.05,5.12,3.63
2021,W06000008,Ceredigion,61392,29845,28718,1127,2119,1401,718,31964,30119,1845,29428,16997,6150,2119,2730,1432,52.07,49.06,3.01,47.93,27.69,10.02,3.45,4.45,2.33
2021,W06000009,Pembrokeshire,102551,54182,51697,2485,1352,1068,284,55534,52765,2769,47017,30306,3544,4755,5632,2780,54.15,51.45,2.7,45.85,29.55,3.46,4.64,5.49,2.71
2021,W06000010,Carmarthenshire,155487,83262,79927,3335,2612,2025,587,85874,81952,3922,69613,43170,6422,6296,9710,4015,55.23,52.71,2.52,44.77,27.76,4.13,4.05,6.24,2.58
2021,W06000011,Swansea,197857,100892,96019,4873,6483,4594,1889,107375,100613,6762,90482,47263,16636,8283,12529,5771,54.27,50.85,3.42,45.73,23.89,8.41,4.19,6.33,2.92
2021,W06000012,Neath Port Talbot,117182,60380,57679,2701,2061,1512,549,62441,59191,3250,54741,29419,6317,5583,9671,3751,53.29,50.51,2.77,46.71,25.11,5.39,4.76,8.25,3.2
2021,W06000013,Bridgend,119482,65649,62636,3013,1830,1348,482,67479,63984,3495,52003,29482,4755,5313,8077,4376,56.48,53.55,2.93,43.52,24.67,3.98,4.45,6.76,3.66
2021,W06000014,Vale of Glamorgan,107457,61271,58633,2638,1688,1282,406,62959,59915,3044,44498,28073,4667,4104,5029,2625,58.59,55.76,2.83,41.41,26.12,4.34,3.82,4.68,2.44
2021,W06000015,Cardiff,296314,159756,151501,8255,12978,8939,4039,172734,160440,12294,123580,49949,35981,13684,14833,9133,58.29,54.15,4.15,41.71,16.86,12.14,4.62,5.01,3.08
2021,W06000016,Rhondda Cynon Taff,193843,105703,100541,5162,3903,2848,1055,109606,103389,6217,84237,44994,9774,8894,14687,5888,56.54,53.34,3.21,43.46,23.21,5.04,4.59,7.58,3.04
2021,W06000018,Caerphilly,143484,79503,75799,3704,2326,1640,686,81829,77439,4390,61655,33893,5848,6900,10856,4158,57.03,53.97,3.06,42.97,23.62,4.08,4.81,7.57,2.9
2021,W06000019,Blaenau Gwent,55141,29768,28166,1602,883,630,253,30651,28796,1855,24490,12808,1975,2937,5026,1744,55.59,52.22,3.36,44.41,23.23,3.58,5.33,9.11,3.16
2021,W06000020,Torfaen,75112,41766,39763,2003,1175,891,284,42941,40654,2287,32171,18673,2811,3455,5109,2123,57.17,54.12,3.04,42.83,24.86,3.74,4.6,6.8,2.83
2021,W06000021,Monmouthshire,78238,43539,42025,1514,1019,804,215,44558,42829,1729,33680,22877,2826,2767,3058,2152,56.95,54.74,2.21,43.05,29.24,3.61,3.54,3.91,2.75
2021,W06000022,Newport,127420,74662,70863,3799,2635,1924,711,77297,72787,4510,50123,26175,5732,6443,7411,4362,60.66,57.12,3.54,39.34,20.54,4.5,5.06,5.82,3.42
2021,W06000023,Powys,112536,62806,60699,2107,1246,1027,219,64052,61726,2326,48484,33173,3819,4004,4770,2718,56.92,54.85,2.07,43.08,29.48,3.39,3.56,4.24,2.42
2021,W06000024,Merthyr Tydfil,47676,26347,25035,1312,836,599,237,27183,25634,1549,20493,10539,1973,2263,4107,1611,57.02,53.77,3.25,42.98,22.11,4.14,4.75,8.61,3.38
