year,area_code,area_name,umap1,umap2,umap_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2021,E06000037,West Berkshire,3.0678778,1.5966378,4,51.05,34.65,10.95,2.68,0.67,3.35,2.45,22.49,3.66,3.96,2.32,2.17
2021,E06000038,Reading,2.6164854,3.7205503,4,51.2,34.45,10.69,2.88,0.78,3.66,4.12,13.63,8.21,4.9,3.01,3.27
2021,E06000039,Slough,2.565094,4.7667947,3,51.7,33.95,10.6,2.92,0.83,3.75,5.06,11.36,6.17,7.93,3.02,4.49
2021,E06000040,Windsor and Maidenhead,2.0839708,2.4735239,4,55.76,31.79,9.43,2.37,0.65,3.02,3.07,21.02,4.79,4.81,1.97,2.64
2021,E06000041,Wokingham,2.1416633,2.0316818,4,54.96,33.16,9.22,2.07,0.58,2.65,2.68,21.18,4.79,4.15,1.73,1.93
2021,E06000042,Milton Keynes,3.019344,3.2055387,4,51.08,33.72,11.05,3.22,0.93,4.15,3.69,16.75,4.59,4.82,3.36,3.02
2021,E06000043,Brighton and Hove,3.1392465,7.321615,3,50.19,33.16,11.59,3.88,1.18,5.06,4.6,15.29,9.86,3.6,4.42,3.05
2021,E06000044,Portsmouth,3.2086873,7.298632,3,47.36,34.83,12.86,3.85,1.11,4.96,4.44,17.14,9.3,4.58,4.16,3.14
2021,E06000045,Southampton,3.092854,7.1684046,3,47.69,35.09,12.25,3.83,1.14,4.97,4.09,15.53,10.61,4.68,4.19,3.05
2021,E06000046,Isle of Wight,7.2628403,3.3581555,1,39.88,36.95,16.43,5.26,1.48,6.74,2.92,33.22,3.1,4.0,5.11,3.22
2021,E06000047,County Durham,6.9110746,5.097906,1,42.96,33.9,15.63,5.78,1.72,7.5,3.06,25.63,6.49,4.37,6.14,3.11
2021,E06000049,Cheshire East,4.758391,1.6618637,4,49.84,33.31,12.15,3.64,1.06,4.7,2.37,26.62,3.49,3.49,3.31,2.3
2021,E06000050,Cheshire West and Chester,5.4348235,2.3329518,4,48.82,33.27,12.68,4.06,1.18,5.24,2.76,25.33,4.42,3.8,4.02,2.43
2021,E06000051,Shropshire,5.7256274,1.515833,4,46.63,34.71,13.58,3.95,1.13,5.08,2.38,28.49,3.56,3.6,3.52,2.46
2021,E06000052,Cornwall,6.1096425,2.8604708,1,45.74,33.52,14.55,4.73,1.46,6.19,2.59,28.84,4.21,4.09,4.47,2.55
2021,E06000053,Isles of Scilly,3.2032287,1.1882237,4,51.31,32.96,11.68,3.21,0.83,4.04,0.87,26.72,1.16,3.41,1.33,2.14
2021,E06000054,Wiltshire,3.789463,1.2113003,4,49.54,34.08,12.16,3.33,0.9,4.23,2.32,24.98,3.34,3.78,2.95,2.42
2021,E06000055,Bedford,3.7036936,2.932172,4,48.82,34.97,11.85,3.43,0.94,4.37,3.34,19.75,4.27,4.68,3.38,3.24
