Table QS601EW,,,,,,,,,,,,,,,,,,,
"2011 Census: Economic activity, local authorities in England and Wales",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All usual residents aged 16 to 74,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
,,,,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
,,,,Number,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage
,,,,,,,,,,,,,,,,,,,
E07000031,,,South Lakeland,"75,831",70.4,15.8,35.4,0.6,3.2,3.6,7.3,2.0,2.5,29.6,20.4,3.0,2.3,2.6,1.2
,,,,,,,,,,,,,,,,,,,
E11000001,,Greater Manchester (Met County),,"1,970,036",67.8,13.2,38.1,0.3,1.5,2.0,4.0,5.0,3.8,32.2,13.1,6.5,4.3,5.8,2.4
E08000001,,,Bolton,"200,723",67.2,13.8,37.2,0.4,1.7,2.0,4.0,4.9,3.1,32.8,14.7,5.1,4.7,5.8,2.4
E08000002,,,Bury,"134,687",70.3,14.2,40.1,0.4,1.9,2.3,4.5,4.3,2.7,29.7,14.5,4.5,3.8,4.9,1.9
E08000003,,,Manchester,"382,932",63.5,10.8,33.7,0.3,1.1,1.8,3.0,5.7,7.1,36.5,7.6,14.1,4.9,6.6,3.3
E08000004,,,Oldham ,"159,765",66.6,13.9,36.6,0.4,1.6,1.9,3.8,5.4,3.0,33.4,14.0,5.1,5.7,5.8,2.9
E08000005,,,Rochdale,"152,742",66.1,13.2,36.4,0.4,1.6,2.0,4.0,5.9,2.7,33.9,13.7,5.3,5.1,6.8,3.0
E08000006,,,Salford,"173,117",68.2,12.5,39.3,0.2,1.2,1.5,3.6,5.2,4.7,31.8,12.1,5.8,4.1,6.9,2.9
E08000007,,,Stockport,"205,310",71.3,14.6,40.5,0.4,2.0,2.4,4.9,3.9,2.7,28.7,15.3,4.2,3.5,4.2,1.6
E08000008,,,Tameside,"161,459",68.8,13.2,40.6,0.3,1.4,1.7,4.1,5.0,2.5,31.2,14.7,4.3,4.0,6.2,2.2
E08000009,,,Trafford,"162,806",72.5,14.0,41.9,0.4,2.1,2.5,4.7,3.8,3.1,27.5,13.3,4.4,3.9,4.0,1.8
E08000010,,,Wigan,"236,495",68.8,13.9,40.0,0.3,1.4,1.7,4.0,4.9,2.7,31.2,16.2,3.5,3.5,6.2,1.8
,,,,,,,,,,,,,,,,,,,
E10000017,,Lancashire ,,"859,130",68.1,14.2,37.6,0.4,2.0,2.2,4.4,3.8,3.7,31.9,16.2,5.4,3.5,4.8,2.0
E07000117,,,Burnley,"63,376",66.1,14.4,36.6,0.3,1.4,2.0,3.6,5.3,2.6,33.9,15.4,4.3,4.5,7.0,2.7
E07000118,,,Chorley,"79,951",70.8,14.4,41.5,0.4,2.1,2.1,4.6,3.2,2.6,29.2,16.1,3.2,2.9,4.1,2.8
E07000119,,,Fylde,"54,544",66.8,13.5,37.1,0.5,2.4,2.5,5.0,3.1,2.7,33.2,20.6,3.3,3.1,4.0,2.2
E07000120,,,Hyndburn,"58,356",67.0,13.5,37.7,0.3,1.5,2.2,4.1,4.6,3.0,33.0,15.1,4.3,4.5,6.7,2.4
E07000121,,,Lancaster,"103,296",65.1,14.4,33.7,0.3,1.7,2.2,4.3,3.3,5.2,34.9,15.2,10.9,2.8,4.3,1.7
E07000122,,,Pendle,"64,440",66.4,14.0,36.0,0.5,1.9,2.4,4.1,4.7,2.8,33.6,15.1,4.1,5.7,6.1,2.6
E07000123,,,Preston,"104,085",67.7,13.6,36.7,0.3,1.5,1.7,3.2,4.4,6.3,32.3,11.7,8.2,4.4,5.4,2.6
E07000124,,,Ribble Valley,"41,285",71.9,14.6,39.0,0.5,3.6,3.0,6.2,2.1,2.9,28.1,18.0,3.6,2.4,2.7,1.4
E07000125,,,Rossendale,"50,075",70.3,13.6,40.1,0.4,2.0,2.5,5.1,4.2,2.5,29.7,14.7,4.3,3.6,5.4,1.7
E07000126,,,South Ribble,"80,458",72.8,14.9,43.7,0.3,1.7,1.9,4.4,3.0,2.9,27.2,16.5,3.3,2.7,3.5,1.2
E07000127,,,West Lancashire,"81,601",68.2,14.1,36.3,0.5,2.4,2.2,4.6,3.9,4.3,31.8,17.0,5.7,3.3,4.3,1.4
E07000128,,,Wyre,"77,663",66.2,14.5,34.7,0.4,2.5,2.5,5.3,3.2,3.1,33.8,21.2,3.9,2.9,4.4,1.3
,,,,,,,,,,,,,,,,,,,
E11000002,,Merseyside (Met County),,"1,021,663",65.4,13.9,35.2,0.3,1.4,1.6,3.4,5.8,3.8,34.6,14.8,6.5,3.8,7.1,2.4
E08000011,,,Knowsley ,"106,155",65.6,14.3,35.9,0.2,1.0,1.3,3.3,6.5,3.0,34.4,13.6,4.8,4.5,8.8,2.7
E08000012,,,Liverpool,"356,876",63.4,12.6,32.7,0.2,1.1,1.4,3.1,6.7,5.6,36.6,11.5,10.3,3.8,8.0,3.0
E08000014,,,Sefton,"198,197",67.1,15.0,35.8,0.3,1.7,2.0,4.1,4.9,3.1,32.9,17.3,4.4,3.4,5.9,1.9
E08000013,,,St. Helens,"129,584",66.5,14.0,38.6,0.3,1.3,1.4,3.3,5.1,2.6,33.5,17.1,4.1,3.8,6.7,1.9
E08000015,,,Wirral,"230,851",66.4,15.0,36.3,0.3,1.7,1.9,3.6,5.2,2.5,33.6,16.8,4.5,3.9,6.4,2.0
,,,,,,,,,,,,,,,,,,,
E12000003,YORKSHIRE AND THE HUMBER,,,"3,875,219",68.4,14.6,37.0,0.4,1.8,2.1,4.2,4.8,3.5,31.6,14.7,5.9,4.3,4.5,2.2
,,,,,,,,,,,,,,,,,,,
E06000011,,East Riding of Yorkshire UA,,"245,594",68.8,15.4,37.0,0.4,2.5,2.4,4.8,3.6,2.7,31.2,19.5,3.7,3.2,3.1,1.7
E06000010,,"Kingston upon Hull, City of UA",,"190,610",67.2,14.7,35.7,0.2,0.9,1.2,2.7,8.0,3.6,32.8,12.1,6.9,5.0,6.0,2.7
E06000012,,North East Lincolnshire UA,,"115,823",68.4,16.5,36.3,0.3,1.4,1.5,3.3,6.5,2.7,31.6,15.6,4.2,4.9,4.8,2.2
E06000013,,North Lincolnshire UA,,"122,329",69.2,15.3,39.5,0.3,1.7,1.8,3.5,4.8,2.4,30.8,16.6,3.7,4.4,4.2,1.8
E06000014,,York UA,,"149,789",70.1,15.0,38.1,0.3,1.6,2.2,4.2,3.1,5.7,29.9,13.8,9.6,2.7,2.5,1.3
,,,,,,,,,,,,,,,,,,,
E10000023,,North Yorkshire ,,"436,806",71.9,15.1,38.2,0.5,3.0,3.0,6.5,3.0,2.5,28.1,17.3,3.3,3.3,2.8,1.4
E07000163,,,Craven,"40,056",71.8,15.3,36.3,0.5,3.4,3.4,7.7,2.5,2.6,28.2,18.8,3.2,2.6,2.4,1.2
E07000164,,,Hambleton,"65,255",72.1,15.1,38.9,0.6,3.3,2.8,6.6,2.6,2.2,27.9,18.1,3.0,3.1,2.3,1.4
E07000165,,,Harrogate,"114,038",74.2,14.9,40.8,0.6,3.1,3.3,6.4,2.6,2.6,25.8,15.5,3.3,3.4,2.3,1.3
