year,area_code,area_name,tsne1,tsne2,tsne_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2021,E07000133,Melton,-6.1461916,-25.53086,4,47.82,35.14,13.06,3.13,0.85,3.98,2.1,27.13,3.2,3.66,2.56,2.05
2021,E07000134,North West Leicestershire,-1.6198545,-23.309065,4,46.97,35.19,13.03,3.74,1.07,4.81,2.37,24.17,4.09,3.68,3.29,2.1
2021,E07000135,Oadby and Wigston,-2.9661725,-16.382402,4,46.01,35.92,13.27,3.76,1.05,4.8,3.08,24.87,7.02,4.19,3.19,2.61
2021,E07000136,Boston,12.62354,-23.527838,1,42.19,37.05,14.96,4.53,1.27,5.8,2.83,23.74,3.37,4.17,4.4,3.09
2021,E07000137,East Lindsey,21.819479,-18.143013,1,37.9,35.7,18.24,6.3,1.86,8.17,2.89,34.98,2.82,4.9,5.77,2.86
2021,E07000138,Lincoln,5.395312,22.506996,3,43.82,36.81,13.91,4.3,1.16,5.46,4.45,16.73,13.12,4.16,4.75,3.14
2021,E07000139,North Kesteven,-1.0389714,-25.729109,4,46.28,35.42,13.44,3.82,1.03,4.85,2.13,27.83,3.24,3.57,3.22,1.98
2021,E07000140,South Holland,12.697677,-25.274342,1,41.41,37.72,15.19,4.49,1.19,5.68,2.5,27.35,2.64,4.36,3.63,2.26
2021,E07000141,South Kesteven,-2.0119824,-25.440811,4,46.0,35.69,13.54,3.8,0.96,4.77,2.53,27.17,3.33,3.83,3.12,2.22
2021,E07000142,West Lindsey,10.062436,-24.620922,1,43.82,35.92,14.66,4.44,1.16,5.6,2.55,29.81,3.38,4.27,4.42,2.3
2021,E07000143,Breckland,11.942634,-25.252548,1,42.56,37.05,14.94,4.32,1.14,5.46,2.38,28.54,2.67,4.15,3.75,2.82
2021,E07000144,Broadland,-1.9951036,-26.852198,4,45.07,36.44,13.9,3.65,0.94,4.59,2.03,29.92,2.89,3.42,3.15,1.95
2021,E07000145,Great Yarmouth,18.32519,-13.704688,1,40.19,35.92,16.64,5.62,1.62,7.25,4.03,27.67,3.5,5.55,6.09,3.42
2021,E07000146,King's Lynn and West Norfolk,13.275602,-24.523676,1,41.74,36.91,15.41,4.6,1.33,5.94,2.47,29.89,2.68,4.43,4.26,2.57
2021,E07000147,North Norfolk,15.282793,-24.549126,1,39.35,37.61,17.01,4.68,1.35,6.03,2.2,37.29,2.6,4.19,4.16,2.84
2021,E07000148,Norwich,5.366242,22.490541,3,43.94,36.29,14.14,4.43,1.21,5.64,4.42,16.68,11.63,4.34,5.17,3.34
2021,E07000149,South Norfolk,-3.8491683,-26.302706,4,47.02,35.46,13.17,3.44,0.91,4.34,2.0,28.37,3.3,3.59,3.0,1.94
2021,E07000163,Craven,-4.625374,-28.319538,4,47.82,35.1,12.83,3.31,0.93,4.24,1.68,31.77,2.93,2.86,2.62,1.95
2021,E07000164,Hambleton,-3.991732,-27.8178,4,47.63,35.23,12.73,3.44,0.98,4.42,1.73,30.98,2.95,3.25,2.61,2.09
2021,E07000165,Harrogate,-13.127973,-21.689533,4,50.96,33.51,11.67,3.06,0.81,3.87,1.92,26.86,4.2,3.37,2.62,2.14
2021,E07000166,Richmondshire,-11.649452,-24.270641,4,49.95,33.88,12.17,3.11,0.89,4.0,2.04,27.1,2.78,3.41,2.38,3.17
2021,E07000167,Ryedale,-1.350106,-27.214046,4,45.92,35.62,13.82,3.57,1.06,4.63,1.75,30.61,3.04,3.63,2.78,2.16
2021,E07000168,Scarborough,16.041044,-22.463068,1,41.32,35.94,15.91,5.31,1.52,6.83,2.63,31.62,3.17,3.89,5.19,2.97
2021,E07000169,Selby,-8.345442,-23.2281,4,48.75,34.56,12.34,3.41,0.94,4.35,2.27,25.34,3.11,3.39,2.84,1.91
2021,E07000170,Ashfield,19.232187,-15.17109,1,42.4,34.74,15.77,5.5,1.59,7.09,3.02,23.91,3.18,4.73,5.7,2.65
2021,E07000171,Bassetlaw,14.14802,-20.508886,1,43.87,34.75,15.16,4.77,1.45,6.22,2.43,26.17,2.96,3.96,4.72,3.35
2021,E07000172,Broxtowe,2.907244,-22.694504,4,46.27,34.62,13.95,4.02,1.14,5.16,2.7,25.94,5.87,3.53,3.66,2.2
2021,E07000173,Gedling,4.5196276,-23.143433,1,46.03,34.84,13.8,4.13,1.21,5.33,2.59,25.71,3.68,3.44,3.93,2.41
2021,E07000174,Mansfield,19.89554,-14.810098,1,42.65,34.4,15.66,5.66,1.63,7.29,2.79,23.59,3.0,4.57,6.17,2.93
2021,E07000175,Newark and Sherwood,9.112652,-22.773813,1,44.69,35.03,14.48,4.52,1.28,5.79,2.4,26.64,3.71,4.07,4.22,2.94
2021,E07000176,Rushcliffe,-16.037182,-20.80788,4,53.1,32.03,11.0,3.05,0.82,3.87,2.19,26.14,5.79,2.99,2.3,2.29
2021,E07000177,Cherwell,-11.284871,-17.570086,4,50.78,34.34,11.16,2.92,0.8,3.72,2.47,19.86,3.32,3.9,2.64,2.73
2021,E07000178,Oxford,-25.337011,12.68368,0,54.78,32.19,9.69,2.6,0.74,3.34,3.18,12.0,21.81,3.84,2.63,2.91
2021,E07000179,South Oxfordshire,-16.174595,-16.675148,4,53.42,33.0,10.34,2.57,0.68,3.25,2.19,23.08,3.66,3.84,2.02,2.26
2021,E07000180,Vale of White Horse,-15.320135,-18.395208,4,52.35,33.62,10.79,2.58,0.66,3.24,2.15,22.83,3.95,3.73,2.16,2.14
2021,E07000181,West Oxfordshire,-13.373216,-20.00493,4,51.26,33.99,11.18,2.8,0.77,3.57,2.01,23.99,3.19,3.72,2.17,2.11
2021,E07000187,Mendip,-2.459533,-23.299246,4,47.72,34.52,13.06,3.71,0.99,4.7,2.28,26.52,3.86,3.78,3.31,2.3
2021,E07000188,Sedgemoor,8.7246895,-24.361296,1,44.62,35.61,14.17,4.38,1.22,5.6,2.44,27.19,2.81,4.06,4.03,2.48
2021,E07000189,South Somerset,0.22641146,-25.990973,4,45.98,35.45,13.61,3.84,1.12,4.96,2.18,29.27,2.86,3.75,3.44,2.23
2021,E07000192,Cannock Chase,12.80016,-20.140669,1,43.33,35.59,14.67,4.93,1.48,6.41,3.03,22.88,2.99,4.36,4.79,2.68
2021,E07000193,East Staffordshire,-3.184024,-13.308122,4,46.54,35.47,13.16,3.74,1.09,4.83,2.84,22.56,3.76,4.71,3.74,3.36
