Table QS405EW,,,,,,,,,,,,,,,,,
"2011 Census: Tenure - Households, local authorities in England and Wales",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All households,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
,,,,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households
,,,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,
E08000028,,,Sandwell ,"121,498","69,135","32,253","36,882",701,"33,439","27,587","5,852","15,674","14,583",88,822,181,"2,549"
E08000029,,,Solihull,"86,056","63,559","32,227","31,332",527,"12,834","10,199","2,635","8,502","7,795",63,559,85,634
E08000030,,,Walsall,"107,822","67,265","33,516","33,749",601,"25,967","10,774","15,193","12,569","11,533",65,770,201,"1,420"
E08000031,,,Wolverhampton,"102,177","57,812","29,416","28,396",419,"28,648","22,796","5,852","13,455","12,517",79,666,193,"1,843"
,,,,,,,,,,,,,,,,,
E10000034,,Worcestershire ,,"239,717","169,788","85,973","83,815","1,565","35,526","13,412","22,114","29,873","27,165",380,"1,992",336,"2,965"
E07000234,,,Bromsgrove,"38,290","30,436","15,554","14,882",248,"3,819","1,139","2,680","3,370","3,035",58,237,40,417
E07000235,,,Malvern Hills,"32,212","23,146","13,680","9,466",263,"4,547",558,"3,989","3,720","3,339",67,263,51,536
E07000236,,,Redditch,"34,722","22,796","9,204","13,592",134,"7,351","5,703","1,648","4,059","3,700",31,299,29,382
E07000237,,,Worcester,"42,042","27,077","12,181","14,896",436,"6,438","2,356","4,082","7,645","7,093",40,432,80,446
E07000238,,,Wychavon,"49,466","35,973","19,158","16,815",225,"7,166",771,"6,395","5,419","4,843",138,352,86,683
E07000239,,,Wyre Forest,"42,985","30,360","16,196","14,164",259,"6,205","2,885","3,320","5,660","5,155",46,409,50,501
,,,,,,,,,,,,,,,,,
E12000006,EAST,,,"2,423,035","1,637,861","797,019","840,842","17,760","380,331","188,886","191,445","356,227","322,938","7,476","19,532","6,281","30,856"
,,,,,,,,,,,,,,,,,
E06000055,,Bedford UA,,"63,812","41,937","20,018","21,919",665,"10,252","1,155","9,097","10,110","9,310",114,514,172,848
E06000056,,Central Bedfordshire UA,,"104,399","75,743","33,039","42,704",874,"13,981","5,464","8,517","12,612","10,973",459,756,424,"1,189"
E06000032,,Luton UA,,"74,293","44,696","18,619","26,077",288,"11,715","7,973","3,742","16,816","15,802",70,726,218,778
E06000031,,Peterborough UA,,"74,023","43,877","19,134","24,743",689,"14,434","4,751","9,683","14,168","12,855",288,699,326,855
E06000033,,Southend-on-Sea UA,,"74,678","48,666","22,960","25,706",306,"8,597","5,079","3,518","16,439","15,472",100,754,113,670
E06000034,,Thurrock UA,,"62,353","41,278","15,899","25,379",302,"11,503","10,055","1,448","8,772","8,220",51,443,58,498
,,,,,,,,,,,,,,,,,
E10000003,,Cambridgeshire ,,"251,241","165,853","80,204","85,649","3,003","38,506","15,736","22,770","40,119","35,965","1,109","2,024","1,021","3,760"
E07000008,,,Cambridge,"46,714","22,171","11,639","10,532",526,"11,023","7,109","3,914","12,258","11,170",281,394,413,736
E07000009,,,East Cambridgeshire,"34,614","23,719","11,145","12,574",506,"4,944",457,"4,487","4,576","4,144",100,273,59,869
E07000010,,,Fenland,"40,620","28,436","14,490","13,946",205,"5,054",895,"4,159","6,341","5,802",55,414,70,584
E07000011,,,Huntingdonshire,"69,333","49,398","22,171","27,227",508,"8,939","1,811","7,128","9,770","8,636",311,593,230,718
E07000012,,,South Cambridgeshire,"59,960","42,129","20,759","21,370","1,258","8,546","5,464","3,082","7,174","6,213",362,350,249,853
,,,,,,,,,,,,,,,,,
E10000012,,Essex ,,"581,589","414,702","201,533","213,169","3,421","83,402","45,939","37,463","73,697","66,541","1,355","4,474","1,327","6,367"
E07000066,,,Basildon,"72,746","47,972","21,037","26,935",720,"15,976","10,309","5,667","7,448","6,825",65,459,99,630
E07000067,,,Braintree,"61,043","41,872","18,609","23,263",362,"10,055","2,378","7,677","8,083","7,332",148,485,118,671
E07000068,,,Brentwood,"30,646","23,028","11,634","11,394",194,"3,586","2,703",883,"3,452","3,148",65,184,55,386
E07000069,,,Castle Point,"36,440","30,101","15,691","14,410",103,"1,949","1,453",496,"3,968","3,584",14,311,59,319
E07000070,,,Chelmsford,"69,667","50,978","23,696","27,282",450,"9,120","1,456","7,664","8,349","7,621",111,505,112,770
E07000071,,,Colchester,"71,634","47,507","22,840","24,667",325,"9,669","5,894","3,775","13,390","11,689",505,711,485,743
E07000072,,,Epping Forest,"51,991","37,565","18,070","19,495",206,"7,803","6,208","1,595","5,742","5,307",93,282,60,675
E07000073,,,Harlow,"34,620","19,429","7,351","12,078",326,"10,808","9,327","1,481","3,756","3,474",21,227,34,301
E07000074,,,Maldon,"25,817","20,251","10,314","9,937",97,"2,685",157,"2,528","2,493","2,208",45,206,34,291
E07000075,,,Rochford,"33,564","27,822","13,927","13,895",79,"2,547",406,"2,141","2,844","2,535",31,220,58,272
E07000076,,,Tendring,"62,105","45,752","27,696","18,056",238,"5,243","2,988","2,255","10,064","9,210",88,664,102,808
E07000077,,,Uttlesford,"31,316","22,425","10,668","11,757",321,"3,961","2,660","1,301","4,108","3,608",169,220,111,501
,,,,,,,,,,,,,,,,,
E10000015,,Hertfordshire,,"453,817","303,276","136,244","167,032","3,940","82,543","41,731","40,812","59,320","54,726","1,004","2,804",786,"4,738"
E07000095,,,Broxbourne,"37,658","27,460","12,262","15,198",418,"5,297","1,106","4,191","4,199","3,934",24,211,30,284
E07000096,,,Dacorum,"59,938","38,877","17,458","21,419",373,"13,045","10,407","2,638","7,107","6,516",129,386,76,536
E07000097,,,East Hertfordshire,"56,577","40,665","18,186","22,479",508,"7,185","1,129","6,056","7,446","6,906",131,322,87,773
E07000098,,,Hertsmere,"39,778","26,897","12,489","14,408",471,"6,932",756,"6,176","4,981","4,500",161,208,112,497
E07000099,,,North Hertfordshire,"53,426","35,072","16,201","18,871",472,"10,304","3,774","6,530","6,993","6,460",97,324,112,585
E07000100,,,St Albans,"56,140","40,831","19,409","21,422",261,"6,832","4,753","2,079","7,624","7,065",131,315,113,592
E07000101,,,Stevenage,"34,898","20,339","7,736","12,603",422,"9,902","7,964","1,938","3,980","3,630",16,309,25,255
E07000102,,,Three Rivers,"35,108","25,532","11,988","13,544",194,"5,318","1,680","3,638","3,708","3,253",167,210,78,356
E07000103,,,Watford,"36,681","22,608","8,954","13,654",426,"5,987","1,469","4,518","7,371","6,930",68,305,68,289
E07000104,,,Welwyn Hatfield,"43,613","24,995","11,561","13,434",395,"11,741","8,693","3,048","5,911","5,532",80,214,85,571
,,,,,,,,,,,,,,,,,
E10000020,,Norfolk,,"372,085","248,840","138,288","110,552","2,204","59,297","27,322","31,975","55,686","49,675","1,392","3,705",914,"6,058"
E07000143,,,Breckland,"54,519","37,427","20,167","17,260",310,"7,511","1,287","6,224","8,294","7,306",297,546,145,977
E07000144,,,Broadland,"53,336","42,343","23,080","19,263",304,"4,567",480,"4,087","5,519","4,860",117,466,76,603
E07000145,,,Great Yarmouth,"42,079","27,073","15,024","12,049",146,"7,255","5,824","1,431","6,926","6,280",117,427,102,679
E07000146,,,King’s Lynn and West Norfolk,"62,977","43,707","24,908","18,799",275,"8,393","1,946","6,447","9,278","7,832",535,581,330,"1,324"
E07000147,,,North Norfolk,"46,046","32,293","21,083","11,210",199,"5,904","1,123","4,781","6,664","5,997",151,433,83,986
E07000148,,,Norwich,"60,319","26,442","12,463","13,979",433,"19,702","15,222","4,480","13,089","12,122",69,784,114,653
E07000149,,,South Norfolk,"52,809","39,555","21,563","17,992",537,"5,965","1,440","4,525","5,916","5,278",106,468,64,836
,,,,,,,,,,,,,,,,,
E10000029,,Suffolk,,"310,745","208,993","111,081","97,912","2,068","46,101","23,681","22,420","48,488","43,399","1,534","2,633",922,"5,095"
E07000200,,,Babergh,"37,522","26,981","14,861","12,120",178,"4,912","3,343","1,569","4,714","4,022",249,320,123,737
E07000201,,,Forest Heath,"25,376","14,174","6,907","7,267",354,"3,739","1,357","2,382","6,195","5,532",268,246,149,914
E07000202,,,Ipswich,"57,298","32,467","14,723","17,744",368,"12,371","8,138","4,233","11,421","10,742",78,493,108,671
E07000203,,,Mid Suffolk,"40,306","30,262","15,876","14,386",343,"4,544","3,280","1,264","4,515","3,804",274,304,133,642
E07000204,,,St Edmundsbury,"45,802","30,626","15,437","15,189",376,"7,321","2,808","4,513","6,798","5,892",315,375,216,681
E07000205,,,Suffolk Coastal,"53,558","39,193","22,774","16,419",234,"6,066",521,"5,545","7,267","6,487",261,384,135,798
E07000206,,,Waveney,"50,883","35,290","20,503","14,787",215,"7,148","4,234","2,914","7,578","6,920",89,511,58,652
,,,,,,,,,,,,,,,,,
E12000007,LONDON,,,"3,266,173","1,576,207","689,898","886,309","42,108","785,993","439,727","346,266","819,085","775,591","5,410","27,937","10,147","42,780"
,,,,,,,,,,,,,,,,,
E13000001,,Inner London,,"1,363,817","456,470","192,213","264,257","20,619","446,815","255,923","190,892","419,073","397,726","2,591","13,354","5,402","20,840"
E09000007,,,Camden,"97,534","31,368","16,644","14,724",674,"32,295","22,473","9,822","31,434","29,706",282,981,465,"1,763"
E09000001,,,City of London,"4,385","1,855","1,093",762,13,725,458,267,"1,573","1,451",16,61,45,219
E09000012,,,Hackney,"101,690","24,179","8,597","15,582","2,374","44,430","24,163","20,267","29,449","28,112",79,947,311,"1,258"
E09000013,,,Hammersmith and Fulham,"80,590","27,397","12,777","14,620","1,257","25,133","12,683","12,450","25,555","24,215",132,949,259,"1,248"
E09000014,,,Haringey,"101,955","39,603","16,326","23,277","1,533","27,242","17,288","9,954","32,095","30,924",109,737,325,"1,482"
E09000019,,,Islington,"93,556","26,564","10,587","15,977","1,207","39,342","25,014","14,328","25,217","23,954",99,852,312,"1,226"
E09000020,,,Kensington and Chelsea,"78,536","28,007","17,933","10,074",700,"19,271","7,201","12,070","28,108","26,676",318,724,390,"2,450"
E09000022,,,Lambeth,"130,017","42,885","14,778","28,107","1,987","45,619","25,496","20,123","38,133","36,023",248,"1,389",473,"1,393"
E09000023,,,Lewisham,"116,091","49,228","17,273","31,955","1,436","36,052","18,084","17,968","28,216","26,665",89,"1,139",323,"1,159"
E09000025,,,Newham,"101,519","33,822","12,993","20,829","1,806","30,092","18,592","11,500","34,570","33,118",98,871,483,"1,229"
E09000028,,,Southwark,"120,422","35,330","11,805","23,525","2,453","52,644","37,628","15,016","28,493","26,752",212,"1,132",397,"1,502"
E09000030,,,Tower Hamlets,"101,257","24,552","8,648","15,904","2,383","40,106","17,548","22,558","32,964","31,227",151,965,621,"1,252"
E09000032,,,Wandsworth,"130,493","59,393","24,067","35,326","1,911","26,516","16,752","9,764","41,317","39,171",284,"1,536",326,"1,356"
E09000033,,,Westminster,"105,772","32,287","18,692","13,595",885,"27,348","12,543","14,805","41,949","39,732",474,"1,071",672,"3,303"
,,,,,,,,,,,,,,,,,
E13000002,,Outer London,,"1,902,356","1,119,737","497,685","622,052","21,489","339,178","183,804","155,374","400,012","377,865","2,819","14,583","4,745","21,940"
E09000002,,,Barking and Dagenham,"69,681","32,324","11,908","20,416",906,"23,459","19,782","3,677","12,328","11,559",39,555,175,664
E09000003,,,Barnet,"135,916","78,350","38,105","40,245","1,191","19,334","11,664","7,670","34,854","33,175",240,"1,073",366,"2,187"
E09000004,,,Bexley,"92,604","67,154","30,127","37,027",754,"13,377","1,693","11,684","10,556","9,721",42,688,105,763
E09000005,,,Brent,"110,286","47,324","22,416","24,908","1,636","26,591","10,686","15,905","33,181","31,784",126,855,416,"1,554"
E09000006,,,Bromley,"130,862","92,785","43,649","49,136","1,036","18,425","1,987","16,438","17,393","16,229",163,826,175,"1,223"
E09000008,,,Croydon,"145,010","85,230","34,882","50,348","1,855","25,887","14,362","11,525","30,472","28,762",181,"1,212",317,"1,566"
E09000009,,,Ealing,"124,082","63,420","28,414","35,006","2,174","22,472","13,007","9,465","34,182","32,696",143,989,354,"1,834"
E09000010,,,Enfield,"119,916","69,462","31,452","38,010","1,087","21,073","13,666","7,407","26,591","25,395",128,785,283,"1,703"
E09000011,,,Greenwich,"101,045","43,719","16,585","27,134","1,580","34,662","22,878","11,784","20,004","18,678",217,772,337,"1,080"
E09000015,,,Harrow,"84,268","55,001","26,246","28,755",821,"8,923","5,157","3,766","18,324","17,165",210,681,268,"1,199"
E09000016,,,Havering,"97,199","71,698","34,625","37,073",586,"13,799","10,464","3,335","10,337","9,601",60,586,90,779
E09000017,,,Hillingdon,"100,214","63,011","27,921","35,090","1,280","16,752","10,481","6,271","18,141","16,691",433,642,375,"1,030"
E09000018,,,Hounslow,"94,902","47,562","20,048","27,514","2,245","21,682","14,296","7,386","22,206","21,099",127,718,262,"1,207"
E09000021,,,Kingston upon Thames,"63,639","40,762","17,727","23,035",434,"7,502","5,252","2,250","14,312","13,391",172,525,224,629
E09000024,,,Merton,"78,757","46,689","20,160","26,529",671,"11,102","2,887","8,215","19,503","18,478",97,749,179,792
E09000026,,,Redbridge,"99,105","62,983","27,911","35,072","1,003","11,289","6,269","5,020","22,657","21,441",85,915,216,"1,173"
E09000027,,,Richmond upon Thames,"79,835","50,750","23,756","26,994",601,"10,051","2,451","7,600","17,440","16,410",176,643,211,993
E09000029,,,Sutton,"78,174","53,152","22,357","30,795",611,"11,422","6,421","5,001","12,429","11,671",76,589,93,560
E09000031,,,Waltham Forest,"96,861","48,361","19,396","28,965","1,018","21,376","10,401","10,975","25,102","23,919",104,780,299,"1,004"
,,,,,,,,,,,,,,,,,
E12000008,SOUTH EAST,,,"3,555,463","2,404,517","1,156,081","1,248,436","39,280","487,473","206,431","281,042","578,592","521,479","15,552","30,041","11,520","45,601"
,,,,,,,,,,,,,,,,,
E06000036,,Bracknell Forest UA,,"45,878","31,419","11,420","19,999",527,"7,678","2,600","5,078","5,734","4,874",298,384,178,520
E06000043,,Brighton and Hove UA,,"121,540","64,790","28,397","36,393","1,045","18,187","11,928","6,259","35,959","34,081",131,"1,521",226,"1,559"
E06000046,,Isle of Wight UA,,"61,085","42,817","25,091","17,726",362,"6,523",598,"5,925","10,639","9,663",94,782,100,744
E06000035,,Medway UA,,"106,209","71,853","30,697","41,156","1,114","13,996","4,155","9,841","18,153","16,627",287,913,326,"1,093"
E06000042,,Milton Keynes UA,,"98,584","56,913","21,157","35,756","5,985","17,763","10,801","6,962","17,066","15,930",101,875,160,857
E06000044,,Portsmouth UA,,"85,473","46,897","20,616","26,281",825,"15,611","10,001","5,610","21,098","19,044",509,"1,135",410,"1,042"
E06000038,,Reading UA,,"62,869","34,479","14,222","20,257","1,130","10,242","6,322","3,920","16,394","15,517",91,605,181,624
E06000039,,Slough UA,,"50,766","26,755","9,502","17,253",686,"10,476","6,656","3,820","12,348","11,713",73,445,117,501
E06000045,,Southampton UA,,"98,254","48,873","21,286","27,587","1,013","22,867","16,633","6,234","24,449","23,007",87,"1,050",305,"1,052"
E06000037,,West Berkshire UA,,"62,340","43,435","19,455","23,980",695,"8,628",575,"8,053","8,555","7,457",457,428,213,"1,027"
E06000040,,Windsor and Maidenhead UA,,"58,349","39,676","19,013","20,663",358,"7,748",711,"7,037","9,432","8,099",580,375,378,"1,135"
E06000041,,Wokingham UA,,"60,332","48,103","21,461","26,642",679,"4,236","2,845","1,391","6,755","6,001",248,363,143,559
,,,,,,,,,,,,,,,,,
E10000002,,Buckinghamshire ,,"200,727","144,852","68,784","76,068","1,946","25,471","9,043","16,428","25,875","22,688","1,156","1,293",738,"2,583"
E07000004,,,Aylesbury Vale,"69,406","49,702","21,607","28,095",600,"8,982","2,333","6,649","9,234","8,096",361,539,238,888
E07000005,,,Chiltern,"36,946","28,418","15,191","13,227",257,"4,573",657,"3,916","3,314","3,039",88,140,47,384
E07000006,,,South Bucks,"26,514","19,453","10,099","9,354",402,"3,266",261,"3,005","3,011","2,653",140,134,84,382
E07000007,,,Wycombe,"67,861","47,279","21,887","25,392",687,"8,650","5,792","2,858","10,316","8,900",567,480,369,929
,,,,,,,,,,,,,,,,,
E10000011,,East Sussex ,,"231,905","160,557","87,976","72,581","1,495","25,600","10,975","14,625","41,180","37,899",552,"2,270",459,"3,073"
E07000061,,,Eastbourne,"45,012","27,788","15,071","12,717",295,"5,953","3,348","2,605","10,494","9,747",160,465,122,482
E07000062,,,Hastings,"41,159","22,706","11,071","11,635",193,"5,988",763,"5,225","11,863","11,191",72,499,101,409
E07000063,,,Lewes,"42,181","30,648","16,797","13,851",285,"4,609","3,196","1,413","6,108","5,557",78,406,67,531
E07000064,,,Rother,"40,877","30,060","18,554","11,506",219,"4,242",712,"3,530","5,742","5,190",120,360,72,614
E07000065,,,Wealden,"62,676","49,355","26,483","22,872",503,"4,808","2,956","1,852","6,973","6,214",122,540,97,"1,037"
,,,,,,,,,,,,,,,,,
E10000014,,Hampshire ,,"545,254","389,765","188,397","201,368","5,154","75,257","26,078","49,179","68,326","57,616","3,913","4,325","2,472","6,752"
E07000084,,,Basingstoke and Deane,"69,315","46,936","19,517","27,419",958,"12,346",540,"11,806","8,172","7,473",165,460,74,903
E07000085,,,East Hampshire,"47,258","34,919","17,520","17,399",431,"5,681",742,"4,939","5,517","4,636",337,349,195,710
E07000086,,,Eastleigh,"52,177","38,362","17,228","21,134",552,"6,411",573,"5,838","6,438","5,864",42,479,53,414
E07000087,,,Fareham,"46,579","37,460","18,279","19,181",277,"3,785","2,370","1,415","4,645","3,906",228,368,143,412
E07000088,,,Gosport,"35,430","23,115","10,413","12,702",381,"5,815","3,297","2,518","5,777","4,506",568,382,321,342
E07000089,,,Hart,"35,510","27,747","12,610","15,137",406,"2,718",215,"2,503","4,286","3,380",446,202,258,353
E07000090,,,Havant,"51,311","35,387","18,169","17,218",281,"10,037","5,300","4,737","5,087","4,510",68,436,73,519
E07000091,,,New Forest,"76,839","57,603","33,430","24,173",484,"8,440","5,185","3,255","9,293","8,153",330,617,193,"1,019"
E07000092,,,Rushmoor,"36,344","23,089","8,434","14,655",647,"5,927",771,"5,156","6,379","4,607",777,332,663,302
E07000093,,,Test Valley,"47,626","33,501","16,412","17,089",311,"6,854","2,115","4,739","6,128","4,964",550,352,262,832
E07000094,,,Winchester,"46,865","31,646","16,385","15,261",426,"7,243","4,970","2,273","6,604","5,617",402,348,237,946
,,,,,,,,,,,,,,,,,
E10000016,,Kent ,,"605,638","407,570","200,638","206,932","5,776","84,127","35,294","48,833","100,182","91,250","1,767","5,592","1,573","7,983"
E07000105,,,Ashford,"47,787","32,685","15,200","17,485",638,"6,915","4,702","2,213","6,849","6,173",115,460,101,700
E07000106,,,Canterbury,"60,771","40,107","21,578","18,529",500,"7,409","5,039","2,370","11,876","10,665",252,697,262,879
E07000107,,,Dartford,"40,081","26,819","11,012","15,807",537,"5,947","4,338","1,609","6,385","6,003",41,291,50,393
E07000108,,,Dover,"48,310","32,142","17,034","15,108",245,"6,864","4,277","2,587","8,254","7,394",160,526,174,805
E07000109,,,Gravesham,"40,431","26,099","12,408","13,691",305,"7,008","5,628","1,380","6,524","6,108",44,302,70,495
E07000110,,,Maidstone,"63,447","44,700","20,885","23,815",671,"8,066","1,495","6,571","9,256","8,264",232,556,204,754
E07000111,,,Sevenoaks,"47,020","34,200","17,642","16,558",798,"6,218",800,"5,418","5,057","4,547",167,253,90,747
E07000112,,,Shepway,"47,379","30,715","16,744","13,971",214,"5,311","3,284","2,027","10,520","9,557",184,549,230,619
E07000113,,,Swale,"55,585","37,951","17,444","20,507",569,"7,942","1,216","6,726","8,446","7,735",96,515,100,677
E07000114,,,Thanet,"59,513","36,907","19,903","17,004",206,"7,537","3,019","4,518","14,151","13,072",167,777,135,712
E07000115,,,Tonbridge and Malling,"48,140","34,246","15,677","18,569",717,"7,762",930,"6,832","4,869","4,320",167,299,83,546
E07000116,,,Tunbridge Wells,"47,174","30,999","15,111","15,888",376,"7,148",566,"6,582","7,995","7,412",142,367,74,656
,,,,,,,,,,,,,,,,,
E10000025,,Oxfordshire,,"258,855","169,528","83,521","86,007","2,923","36,833","11,788","25,045","45,207","39,292","2,304","1,987","1,624","4,364"
E07000177,,,Cherwell,"56,728","39,303","17,512","21,791",443,"6,872","1,453","5,419","9,206","8,304",233,469,200,904
E07000178,,,Oxford,"55,375","25,873","13,277","12,596",959,"11,828","7,513","4,315","15,634","14,458",277,524,375,"1,081"
E07000179,,,South Oxfordshire,"54,104","39,461","20,113","19,348",459,"6,163",854,"5,309","7,211","5,999",541,354,317,810
E07000180,,,Vale of White Horse,"49,407","34,750","17,704","17,046",514,"6,583","1,230","5,353","6,733","5,423",625,304,381,827
E07000181,,,West Oxfordshire,"43,241","30,141","14,915","15,226",548,"5,387",738,"4,649","6,423","5,108",628,336,351,742
,,,,,,,,,,,,,,,,,
E10000030,,Surrey,,"455,791","332,184","158,719","173,465","4,663","52,086","22,558","29,528","61,409","55,472","1,898","2,861","1,178","5,449"
E07000207,,,Elmbridge,"52,922","38,660","18,119","20,541",393,"5,218","1,124","4,094","8,006","7,478",129,328,71,645
E07000208,,,Epsom and Ewell,"29,784","22,931","10,969","11,962",257,"2,390",166,"2,224","3,962","3,628",91,209,34,244
E07000209,,,Guildford,"53,973","37,148","18,204","18,944",702,"6,908","4,928","1,980","8,522","7,426",399,351,346,693
E07000210,,,Mole Valley,"35,828","26,362","14,011","12,351",331,"4,373",531,"3,842","4,270","3,795",143,244,88,492
E07000211,,,Reigate and Banstead,"55,423","40,486","18,393","22,093",673,"6,605","1,345","5,260","7,169","6,653",81,357,78,490
E07000212,,,Runnymede,"32,714","22,731","10,827","11,904",326,"4,210","2,897","1,313","4,974","4,492",173,195,114,473
E07000213,,,Spelthorne,"39,512","28,671","13,403","15,268",540,"4,911",636,"4,275","5,004","4,633",79,245,47,386
E07000214,,,Surrey Heath,"33,546","25,769","11,668","14,101",269,"3,089",394,"2,695","4,073","3,420",309,173,171,346
E07000215,,,Tandridge,"33,342","25,302","12,074","13,228",313,"3,610","2,567","1,043","3,666","3,236",158,211,61,451
E07000216,,,Waverley,"49,280","36,295","18,572","17,723",491,"6,068","4,662","1,406","5,577","4,966",231,290,90,849
E07000217,,,Woking,"39,467","27,829","12,479","15,350",368,"4,704","3,308","1,396","6,186","5,745",105,258,78,380
,,,,,,,,,,,,,,,,,
E10000032,,West Sussex,,"345,614","244,051","125,729","118,322","2,904","44,144","16,870","27,274","49,831","45,249","1,006","2,837",739,"4,684"
E07000223,,,Adur,"26,957","19,883","10,191","9,692",154,"3,523","2,652",871,"3,079","2,762",29,266,22,318
E07000224,,,Arun,"66,706","49,254","28,581","20,673",566,"5,886","3,225","2,661","10,211","9,427",95,579,110,789
E07000225,,,Chichester,"49,848","33,481","20,210","13,271",455,"7,407","1,084","6,323","7,423","6,356",403,397,267,"1,082"
E07000226,,,Crawley,"42,727","25,228","9,480","15,748",588,"10,194","7,954","2,240","6,214","5,789",43,319,63,503
E07000227,,,Horsham,"54,923","40,926","20,486","20,440",363,"6,347",672,"5,675","6,480","5,772",222,387,99,807
E07000228,,,Mid Sussex,"57,409","42,658","20,408","22,250",561,"6,092",295,"5,797","7,322","6,719",149,375,79,776
E07000229,,,Worthing,"47,044","32,621","16,373","16,248",217,"4,695",988,"3,707","9,102","8,424",65,514,99,409
,,,,,,,,,,,,,,,,,
E12000009,SOUTH WEST,,,"2,264,641","1,526,958","801,786","725,172","17,116","301,520","130,652","170,868","387,134","345,229","9,914","24,206","7,785","31,913"
,,,,,,,,,,,,,,,,,
E06000022,,Bath and North East Somerset UA,,"73,515","49,068","25,827","23,241",368,"10,614","2,528","8,086","12,447","11,408",128,735,176,"1,018"
E06000028,,Bournemouth UA,,"82,374","47,057","22,820","24,237",569,"9,206","4,895","4,311","24,685","23,234",138,"1,100",213,857
E06000023,,"Bristol, City of UA",,"182,747","98,708","44,928","53,780","1,385","37,083","26,494","10,589","43,028","40,401",232,"1,984",411,"2,543"
E06000052,,Cornwall UA,,"230,389","158,524","92,113","66,411","1,757","27,655","12,833","14,822","38,605","33,938",815,"3,185",667,"3,848"
E06000053,,Isles of Scilly UA,,989,412,313,99,8,179,121,58,294,204,36,13,41,96
E06000024,,North Somerset UA,,"88,227","64,365","32,474","31,891",542,"8,103","3,104","4,999","14,270","13,058",129,958,125,947
E06000026,,Plymouth UA,,"109,307","64,157","29,763","34,394",841,"21,095","9,403","11,692","22,026","19,431",687,"1,315",593,"1,188"
E06000029,,Poole UA,,"63,530","44,702","22,719","21,983",557,"7,324","4,143","3,181","10,275","9,293",210,643,129,672
E06000025,,South Gloucestershire UA,,"107,538","80,586","37,050","43,536",497,"10,633","2,063","8,570","14,600","13,124",233,"1,039",204,"1,222"
E06000030,,Swindon UA,,"88,360","57,902","22,749","35,153","1,118","14,382","10,269","4,113","14,169","13,020",135,861,153,789
E06000027,,Torbay UA,,"59,010","39,424","21,503","17,921",554,"4,762",505,"4,257","13,696","12,647",65,879,105,574
E06000054,,Wiltshire UA,,"194,194","131,083","65,734","65,349","1,463","28,591","7,604","20,987","29,968","22,903","3,295","1,550","2,220","3,089"
,,,,,,,,,,,,,,,,,
E10000008,,Devon ,,"322,644","226,481","130,281","96,200","2,605","36,042","15,433","20,609","52,581","47,113","1,017","3,684",767,"4,935"
E07000040,,,East Devon,"59,071","44,283","27,837","16,446",319,"5,515","3,915","1,600","8,041","7,034",215,631,161,913
E07000041,,,Exeter,"49,242","29,443","14,809","14,634",470,"8,386","4,769","3,617","10,336","9,633",87,534,82,607
E07000042,,,Mid Devon,"32,758","22,626","12,206","10,420",305,"4,135","2,843","1,292","5,091","4,605",108,324,54,601
E07000043,,,North Devon,"40,001","27,383","15,638","11,745",271,"4,316",971,"3,345","7,341","6,377",261,508,195,690
E07000044,,,South Hams,"36,858","26,440","15,775","10,665",400,"4,195",642,"3,553","5,259","4,638",106,424,91,564
E07000045,,,Teignbridge,"54,003","39,678","22,015","17,663",495,"4,813","1,169","3,644","8,358","7,526",107,636,89,659
E07000046,,,Torridge,"27,986","19,998","11,998","8,000",197,"2,524",542,"1,982","4,746","4,275",69,363,39,521
E07000047,,,West Devon,"22,725","16,630","10,003","6,627",148,"2,158",582,"1,576","3,409","3,025",64,264,56,380
,,,,,,,,,,,,,,,,,
E10000009,,Dorset ,,"180,213","129,837","77,407","52,430","1,206","22,268","2,878","19,390","24,057","20,851","1,063","1,514",629,"2,845"
E07000048,,,Christchurch,"21,475","15,967","9,814","6,153",182,"2,784",200,"2,584","2,321","2,115",25,164,17,221
E07000049,,,East Dorset,"37,564","30,371","18,017","12,354",111,"3,120",292,"2,828","3,471","3,028",112,228,103,491
E07000050,,,North Dorset,"28,670","20,002","11,286","8,716",217,"3,865",282,"3,583","4,094","3,247",390,246,211,492
E07000051,,,Purbeck,"19,583","13,613","8,306","5,307",165,"2,446",444,"2,002","3,005","2,391",287,180,147,354
E07000052,,,West Dorset,"44,386","30,823","19,563","11,260",370,"6,159",367,"5,792","6,093","5,419",211,369,94,941
E07000053,,,Weymouth and Portland,"28,535","19,061","10,421","8,640",161,"3,894","1,293","2,601","5,073","4,651",38,327,57,346
